shipment_id,vendor_name,sender,caller,message,fraud_label
SHP-10062,Summit Logistics Inc,billing-ops@outlook-cargo.net,Unknown,Do not share your verification code. Enter one-time password OTP 8119 in the logistics app to authorize load release for SHP-SHP-10062.,spam
SHP-10063,Cascade Carrier Group,+15557462506,+15554188992,Checking trailer temperature for SHP-SHP-10063. Climate control working properly.,ham
SHP-10064,Summit Logistics Inc,dispatch-support@gmail-logistics.com,Unknown,"URGENT: Change credit payment terms for shipment SHP-SHP-10064. Direct wire transfer required. Sender routing 58884978, bank account 563102056.",spam
SHP-10065,Cascade Carrier Group,+15559508103,+15556188935,"Good morning, here is the updated bill of lading for shipment SHP-SHP-10065 with Cascade Carrier Group. Let us know if you need changes.",ham
SHP-10066,Vanguard Transport,+15553135534,+15554218542,Truck inspection completed for SHP-SHP-10066. Trailer seal ID: 92667. Driver heading to route.,ham
SHP-10067,Vanguard Transport,+15556049101,+15557812810,Freight schedule check for shipment SHP-SHP-10067. All parameters within compliance. Thank you.,ham
SHP-10068,Sentinel Delivery Systems,+15554526280,+15558212326,Truck inspection completed for SHP-SHP-10068. Trailer seal ID: 57606. Driver heading to route.,ham
SHP-10069,Cascade Carrier Group,+15559576076,+15558938746,Invoice submitted for carrier fees for SHP-SHP-10069. Please check credit limit terms.,ham
SHP-10070,Titan Heavy Hauling,+15556623525,+15552566777,Truck inspection completed for SHP-SHP-10070. Trailer seal ID: 87561. Driver heading to route.,ham
SHP-10071,Delta Freight Systems,+15553472189,+15551409790,Load SHP-SHP-10071 delivered successfully at terminal dock. Paperwork signed by receiver.,ham
SHP-10072,Apex Logistics Corp,+15558640615,+15557953166,Invoice submitted for carrier fees for SHP-SHP-10072. Please check credit limit terms.,ham
SHP-10073,Delta Freight Systems,+15557705062,+15555093379,Freight schedule check for shipment SHP-SHP-10073. All parameters within compliance. Thank you.,ham
SHP-10074,Titan Heavy Hauling,+15558132769,+15554671545,"Hi, driver John here. Load SHP-SHP-10074 is secure and loaded in the truck. Leaving the yard now.",ham
SHP-10075,Titan Heavy Hauling,+15551842524,+15555180853,Checking trailer temperature for SHP-SHP-10075. Climate control working properly.,ham
SHP-10076,Global Cargo Solutions,+15556323376,+15558425149,Invoice submitted for carrier fees for SHP-SHP-10076. Please check credit limit terms.,ham
SHP-10077,Sentinel Delivery Systems,+15553670226,+15558963715,Checking trailer temperature for SHP-SHP-10077. Climate control working properly.,ham
SHP-10078,Horizon Shipping Lines,+15559745959,+15559130188,Load SHP-SHP-10078 delivered successfully at terminal dock. Paperwork signed by receiver.,ham
SHP-10079,Delta Freight Systems,+15554934149,+15555558623,"Good morning, here is the updated bill of lading for shipment SHP-SHP-10079 with Delta Freight Systems. Let us know if you need changes.",ham
SHP-10080,Cascade Carrier Group,+15553321531,+15553530518,Checking trailer temperature for SHP-SHP-10080. Climate control working properly.,ham
SHP-10081,Delta Freight Systems,+15552077581,+15557960328,"Hello dispatcher, this is to confirm gate check-in completed for shipment SHP-SHP-10081. Status: In Transit.",ham
SHP-10082,Vanguard Transport,+15552044645,+15554470105,Invoice submitted for carrier fees for SHP-SHP-10082. Please check credit limit terms.,ham
SHP-10083,Vanguard Transport,+15557381734,+15559002392,Driver checked in at gate. Delivery dock B assigned.,ham
SHP-10084,Apex Logistics Corp,+15558030010,+15554700025,Truck inspection completed for SHP-SHP-10084. Trailer seal ID: 71116. Driver heading to route.,ham
SHP-10085,Horizon Shipping Lines,+15551486955,+15557523941,Freight schedule check for shipment SHP-SHP-10085. All parameters within compliance. Thank you.,ham
SHP-10086,Cascade Carrier Group,+15558841505,+15553141239,Freight schedule check for shipment SHP-SHP-10086. All parameters within compliance. Thank you.,ham
SHP-10087,Sentinel Delivery Systems,dispatch-support@gmail-logistics.com,Unknown,"Financial Alert: Updated bank routing and account numbers for Sentinel Delivery Systems billing department. Wire cargo fees to Routing: 96268397, Account: 560219456. Confirm deposit.",spam
SHP-10088,Horizon Shipping Lines,+15558628588,+15556483562,"Sentinel Cargo ID validation: Enter OTP 4467 to complete gate registration. If you did not request this, contact support.",spam
SHP-10089,Cascade Carrier Group,+15558072684,+15555232413,Freight schedule check for shipment SHP-SHP-10089. All parameters within compliance. Thank you.,ham
SHP-10090,Global Cargo Solutions,+15556871360,+15554761823,Checking trailer temperature for SHP-SHP-10090. Climate control working properly.,ham
SHP-10091,Global Cargo Solutions,+15555148725,+15554344717,"Hi, driver John here. Load SHP-SHP-10091 is secure and loaded in the truck. Leaving the yard now.",ham
SHP-10092,Apex Logistics Corp,+15558945036,+15552919136,Load SHP-SHP-10092 delivered successfully at terminal dock. Paperwork signed by receiver.,ham
SHP-10093,Delta Freight Systems,+15553815034,+15552921542,Truck inspection completed for SHP-SHP-10093. Trailer seal ID: 68351. Driver heading to route.,ham
SHP-10094,Titan Heavy Hauling,+15551430812,+15556233774,"Good morning, here is the updated bill of lading for shipment SHP-SHP-10094 with Titan Heavy Hauling. Let us know if you need changes.",ham
SHP-10095,Vanguard Transport,+15555074336,+15552709620,Load SHP-SHP-10095 delivered successfully at terminal dock. Paperwork signed by receiver.,ham
SHP-10096,Summit Logistics Inc,+15551689025,+15556825112,Driver checked in at gate. Delivery dock B assigned.,ham
SHP-10097,Sentinel Delivery Systems,+15559488613,+15556724909,"Hi, just confirming arrival at transit point. ETA to destination is 3 hours.",ham
SHP-10098,Apex Logistics Corp,+15558273315,+15557076506,Invoice submitted for carrier fees for SHP-SHP-10098. Please check credit limit terms.,ham
SHP-10099,Horizon Shipping Lines,+15559753457,+15555531230,Freight schedule check for shipment SHP-SHP-10099. All parameters within compliance. Thank you.,ham
SHP-10100,Sentinel Delivery Systems,+15555502929,+15556407373,Invoice submitted for carrier fees for SHP-SHP-10100. Please check credit limit terms.,ham
SHP-10101,Delta Freight Systems,+15558563202,+15555091349,"Good morning, here is the updated bill of lading for shipment SHP-SHP-10101 with Delta Freight Systems. Let us know if you need changes.",ham
SHP-10102,Horizon Shipping Lines,+15551481506,+15559293086,Freight schedule check for shipment SHP-SHP-10102. All parameters within compliance. Thank you.,ham
SHP-10103,Cascade Carrier Group,+15556709938,+15555691890,Attention carrier: Unusual login attempt detected on your broker account. Confirm identity at http://cascadecarriergroup-security-check.com,spam
SHP-10104,Summit Logistics Inc,+15552436347,+15555049282,Checking trailer temperature for SHP-SHP-10104. Climate control working properly.,ham
SHP-10105,Vanguard Transport,+15559234615,+15558519121,Load SHP-SHP-10105 delivered successfully at terminal dock. Paperwork signed by receiver.,ham
SHP-10106,Apex Logistics Corp,+15556137284,+15557191135,Immediate action required. Verify your logistics dispatcher credentials within 24 hours to prevent account suspension: http://verify-apexlogisticscorp-auth.org/login,spam
SHP-10107,Horizon Shipping Lines,+15556549757,+15556902401,"Hi, just confirming arrival at transit point. ETA to destination is 3 hours.",ham
SHP-10108,Horizon Shipping Lines,+15553024269,+15554231028,Truck inspection completed for SHP-SHP-10108. Trailer seal ID: 50217. Driver heading to route.,ham
SHP-10109,Cascade Carrier Group,dispatch-support@gmail-logistics.com,Unknown,Express Delivery Notice: Parcel SHP-SHP-10109 is held at customs. Deposit postage fee of $4.50 immediately to release shipment: http://courier-postage-cascadecarriergroup.com,spam
SHP-10110,Horizon Shipping Lines,+15555747930,+15552686548,Driver checked in at gate. Delivery dock B assigned.,ham
SHP-10111,Delta Freight Systems,+15556071208,+15551237370,"Hi, just confirming arrival at transit point. ETA to destination is 3 hours.",ham
SHP-10112,Sentinel Delivery Systems,dispatch-support@gmail-logistics.com,Unknown,"Hi, this is broker support for Sentinel Delivery Systems. Change the dropoff destination of shipment SHP-SHP-10112 to 399 Industrial Way, Phoenix, AZ. System portal will update shortly.",spam
SHP-10113,Summit Logistics Inc,+15554093109,+15551861958,Invoice submitted for carrier fees for SHP-SHP-10113. Please check credit limit terms.,ham
SHP-10114,Summit Logistics Inc,+15552096280,+15557722755,Invoice submitted for carrier fees for SHP-SHP-10114. Please check credit limit terms.,ham
SHP-10115,Horizon Shipping Lines,carrier-check@gmail-logistics.com,Unknown,"CONGRATULATIONS! You have been selected as the lottery grand prize winner. Claim your cash award of $50,000 here: http://lottery-draw-free-draw.com",spam
SHP-10116,Summit Logistics Inc,carrier-check@gmail-logistics.com,Unknown,"Hi, you have a pending bill of lading validation form for shipment SHP-SHP-10116. Click to sign electronically: http://summitlogisticsinc-esign-portal.com",spam
SHP-10117,Delta Freight Systems,+15558427625,+15555988757,Freight schedule check for shipment SHP-SHP-10117. All parameters within compliance. Thank you.,ham
SHP-10118,Vanguard Transport,+15552664863,+15554486102,Driver checked in at gate. Delivery dock B assigned.,ham
SHP-10119,Delta Freight Systems,+15555024269,+15553916107,"Good morning, here is the updated bill of lading for shipment SHP-SHP-10119 with Delta Freight Systems. Let us know if you need changes.",ham
SHP-10120,Sentinel Delivery Systems,+15555833597,+15555743227,"Broker Alert: Trailer locks on shipment SHP-SHP-10120 are malfunctioning. Driver is instructed to bypass the secondary checkpoint and meet logistics agent at 805 Industrial Way, Phoenix, AZ.",spam
SHP-10121,Horizon Shipping Lines,+15558132648,+15552925626,Immediate action required. Verify your logistics dispatcher credentials within 24 hours to prevent account suspension: http://verify-horizonshippinglines-auth.org/login,spam
SHP-10122,Sentinel Delivery Systems,+15553386328,+15552198058,"Hello dispatcher, this is to confirm gate check-in completed for shipment SHP-SHP-10122. Status: In Transit.",ham
SHP-10123,Apex Logistics Corp,+15558863447,+15556101803,Verify your mobile device update for carrier logs. One-time code: 3037.,spam
SHP-10124,Vanguard Transport,+15559284509,+15558344375,Checking trailer temperature for SHP-SHP-10124. Climate control working properly.,ham
SHP-10125,Global Cargo Solutions,+15555200476,+15551433940,Freight schedule check for shipment SHP-SHP-10125. All parameters within compliance. Thank you.,ham
SHP-10126,Global Cargo Solutions,+15551348050,+15555521644,Driver checked in at gate. Delivery dock B assigned.,ham
SHP-10127,Apex Logistics Corp,+15559706768,+15558419378,"Hello dispatcher, this is to confirm gate check-in completed for shipment SHP-SHP-10127. Status: In Transit.",ham
SHP-10128,Summit Logistics Inc,+15559249789,+15552530793,Courier delivery alert. Package weight discrepancy reported. Pay inspection clearance tax of $10.00 to complete dispatch delivery: http://courier-tax.org,spam
SHP-10129,Horizon Shipping Lines,+15552754894,+15553698193,"Hi, just confirming arrival at transit point. ETA to destination is 3 hours.",ham
SHP-10130,Cascade Carrier Group,+15557718473,+15551615675,Invoice submitted for carrier fees for SHP-SHP-10130. Please check credit limit terms.,ham
SHP-10131,Horizon Shipping Lines,+15559633492,+15551019311,Do not share your verification code. Enter one-time password OTP 7622 in the logistics app to authorize load release for SHP-SHP-10131.,spam
SHP-10132,Sentinel Delivery Systems,+15559697969,+15557069650,"Hi, driver John here. Load SHP-SHP-10132 is secure and loaded in the truck. Leaving the yard now.",ham
SHP-10133,Horizon Shipping Lines,+15555480460,+15553198037,"Hi, driver John here. Load SHP-SHP-10133 is secure and loaded in the truck. Leaving the yard now.",ham
SHP-10134,Summit Logistics Inc,+15551484348,+15555014745,Invoice submitted for carrier fees for SHP-SHP-10134. Please check credit limit terms.,ham
SHP-10135,Titan Heavy Hauling,+15557844947,+15552563790,"Hi, driver John here. Load SHP-SHP-10135 is secure and loaded in the truck. Leaving the yard now.",ham
SHP-10136,Delta Freight Systems,+15552970754,+15553583206,"Good morning, here is the updated bill of lading for shipment SHP-SHP-10136 with Delta Freight Systems. Let us know if you need changes.",ham
SHP-10137,Horizon Shipping Lines,+15555587308,+15557970771,Truck inspection completed for SHP-SHP-10137. Trailer seal ID: 86698. Driver heading to route.,ham
SHP-10138,Horizon Shipping Lines,+15553426689,+15557435505,Load SHP-SHP-10138 delivered successfully at terminal dock. Paperwork signed by receiver.,ham
SHP-10139,Delta Freight Systems,+15552171218,+15555634662,Checking trailer temperature for SHP-SHP-10139. Climate control working properly.,ham
SHP-10140,Vanguard Transport,+15551043037,+15555745250,Checking trailer temperature for SHP-SHP-10140. Climate control working properly.,ham
SHP-10141,Summit Logistics Inc,+15553493017,+15558491822,Driver checked in at gate. Delivery dock B assigned.,ham
SHP-10142,Sentinel Delivery Systems,+15557328534,+15558639414,"Hi, just confirming arrival at transit point. ETA to destination is 3 hours.",ham
SHP-10143,Cascade Carrier Group,+15557425184,+15554918527,Load SHP-SHP-10143 delivered successfully at terminal dock. Paperwork signed by receiver.,ham
SHP-10144,Vanguard Transport,+15557477326,+15553551903,"Congratulations! Your phone number selected as the winner of $1,000 cash balance reward. Click to withdraw: http://reward-cash.net",spam
SHP-10145,Horizon Shipping Lines,+15556569946,+15552683838,"Hello dispatcher, this is to confirm gate check-in completed for shipment SHP-SHP-10145. Status: In Transit.",ham
SHP-10146,Horizon Shipping Lines,dispatch-support@gmail-logistics.com,Unknown,"URGENT: Change credit payment terms for shipment SHP-SHP-10146. Direct wire transfer required. Sender routing 65026398, bank account 803066091.",spam
SHP-10147,Global Cargo Solutions,+15557668663,+15552347467,Truck inspection completed for SHP-SHP-10147. Trailer seal ID: 64375. Driver heading to route.,ham
SHP-10148,Cascade Carrier Group,+15556312692,+15559186400,Checking trailer temperature for SHP-SHP-10148. Climate control working properly.,ham
SHP-10149,Sentinel Delivery Systems,carrier-check@gmail-logistics.com,Unknown,Urgent operational notice. Driver switch completed for SHP-SHP-10149. Driver ID: CAR-864. Release trailer to carrier license plate 2BX91 immediately.,spam
SHP-10150,Global Cargo Solutions,+15551771600,+15556442103,Truck inspection completed for SHP-SHP-10150. Trailer seal ID: 23794. Driver heading to route.,ham
SHP-10151,Apex Logistics Corp,+15553442255,+15555096953,"Hi, just confirming arrival at transit point. ETA to destination is 3 hours.",ham
SHP-10152,Sentinel Delivery Systems,+15553937176,+15552324869,"Hello dispatcher, this is to confirm gate check-in completed for shipment SHP-SHP-10152. Status: In Transit.",ham
SHP-10153,Vanguard Transport,+15553401116,+15554895475,Load SHP-SHP-10153 delivered successfully at terminal dock. Paperwork signed by receiver.,ham
SHP-10154,Horizon Shipping Lines,+15551157662,+15558805654,Invoice submitted for carrier fees for SHP-SHP-10154. Please check credit limit terms.,ham
SHP-10155,Summit Logistics Inc,+15558410995,+15556797629,"Hello dispatcher, this is to confirm gate check-in completed for shipment SHP-SHP-10155. Status: In Transit.",ham
SHP-10156,Summit Logistics Inc,+15558664433,+15556068760,Freight schedule check for shipment SHP-SHP-10156. All parameters within compliance. Thank you.,ham
SHP-10157,Delta Freight Systems,+15554979651,+15557398231,Invoice submitted for carrier fees for SHP-SHP-10157. Please check credit limit terms.,ham
SHP-10158,Cascade Carrier Group,+15557640518,+15555605016,Truck inspection completed for SHP-SHP-10158. Trailer seal ID: 22875. Driver heading to route.,ham
SHP-10159,Apex Logistics Corp,+15559333700,+15555801541,"Hi, driver John here. Load SHP-SHP-10159 is secure and loaded in the truck. Leaving the yard now.",ham
SHP-10160,Delta Freight Systems,+15554189885,+15555204819,"Hi, just confirming arrival at transit point. ETA to destination is 3 hours.",ham
SHP-10161,Titan Heavy Hauling,+15558395785,+15551559763,"Hi, driver John here. Load SHP-SHP-10161 is secure and loaded in the truck. Leaving the yard now.",ham
SHP-10162,Cascade Carrier Group,+15556481437,+15557970985,"Good morning, here is the updated bill of lading for shipment SHP-SHP-10162 with Cascade Carrier Group. Let us know if you need changes.",ham
SHP-10163,Titan Heavy Hauling,+15559906224,+15559418719,Checking trailer temperature for SHP-SHP-10163. Climate control working properly.,ham
SHP-10164,Summit Logistics Inc,+15555951651,+15556682698,Truck inspection completed for SHP-SHP-10164. Trailer seal ID: 83156. Driver heading to route.,ham
SHP-10165,Global Cargo Solutions,+15554785186,+15557667458,"Good morning, here is the updated bill of lading for shipment SHP-SHP-10165 with Global Cargo Solutions. Let us know if you need changes.",ham
SHP-10166,Sentinel Delivery Systems,+15555436878,+15553073474,Freight schedule check for shipment SHP-SHP-10166. All parameters within compliance. Thank you.,ham
SHP-10167,Horizon Shipping Lines,+15557392547,+15557232293,Truck inspection completed for SHP-SHP-10167. Trailer seal ID: 96619. Driver heading to route.,ham
SHP-10168,Global Cargo Solutions,+15556503032,+15554713925,Invoice submitted for carrier fees for SHP-SHP-10168. Please check credit limit terms.,ham
SHP-10169,Global Cargo Solutions,+15557850067,+15552957497,Invoice submitted for carrier fees for SHP-SHP-10169. Please check credit limit terms.,ham
SHP-10170,Titan Heavy Hauling,+15558610879,+15557224540,"Broker Alert: Trailer locks on shipment SHP-SHP-10170 are malfunctioning. Driver is instructed to bypass the secondary checkpoint and meet logistics agent at 218 Industrial Way, Phoenix, AZ.",spam
SHP-10171,Sentinel Delivery Systems,+15552661307,+15559209880,"Hello dispatcher, this is to confirm gate check-in completed for shipment SHP-SHP-10171. Status: In Transit.",ham
SHP-10172,Vanguard Transport,+15557216461,+15554645180,Truck inspection completed for SHP-SHP-10172. Trailer seal ID: 24288. Driver heading to route.,ham
SHP-10173,Horizon Shipping Lines,+15552666893,+15557162857,Load SHP-SHP-10173 delivered successfully at terminal dock. Paperwork signed by receiver.,ham
SHP-10174,Sentinel Delivery Systems,+15557679674,+15555628522,"Hi, just confirming arrival at transit point. ETA to destination is 3 hours.",ham
SHP-10175,Delta Freight Systems,+15554558545,+15551358318,Invoice submitted for carrier fees for SHP-SHP-10175. Please check credit limit terms.,ham
SHP-10176,Apex Logistics Corp,+15554442778,+15552151087,Load SHP-SHP-10176 delivered successfully at terminal dock. Paperwork signed by receiver.,ham
SHP-10177,Sentinel Delivery Systems,+15556512314,+15553475548,Load SHP-SHP-10177 delivered successfully at terminal dock. Paperwork signed by receiver.,ham
SHP-10178,Apex Logistics Corp,+15555205279,+15553927575,"Hello dispatcher, this is to confirm gate check-in completed for shipment SHP-SHP-10178. Status: In Transit.",ham
SHP-10179,Global Cargo Solutions,+15551249314,+15557010308,"Hi, driver John here. Load SHP-SHP-10179 is secure and loaded in the truck. Leaving the yard now.",ham
SHP-10180,Delta Freight Systems,+15555452128,+15551879109,"Hi, driver John here. Load SHP-SHP-10180 is secure and loaded in the truck. Leaving the yard now.",ham
SHP-10181,Titan Heavy Hauling,+15552066326,+15558990081,Checking trailer temperature for SHP-SHP-10181. Climate control working properly.,ham
