shipment_id,sender,receiver,message_type,message_content,is_fraudulent,fraud_probability,created_at
SHP-1016,info@goldstarlogistics.com,ops@controlcenter.com,Email,"Hi Team, please find attached the BOL for shipment SHP-1016. Let us know if you need anything else.",0,0.01,2026-04-04 21:22:51
SHP-1017,info@pinnaclefreight.com,ops@controlcenter.com,Email,"Hi Team, please find attached the BOL for shipment SHP-1017. Let us know if you need anything else.",0,0.19,2026-05-13 05:22:51
SHP-1018,+15558425149,+15559468772,SMS,Refueling. Trailer locks checked and secure.,0,0.21,2026-05-21 18:22:51
SHP-1018,+15553670226,+15558963715,SMS,Refueling. Trailer locks checked and secure.,0,0.06,2026-05-21 18:22:51
SHP-1018,info@horizonfreight.com,ops@controlcenter.com,Email,"Hello, gate check-in has been completed for shipment SHP-1018 in San Francisco, CA. Estimated arrival in Miami, FL remains unchanged.",0,0.19,2026-05-21 18:22:51
SHP-1019,info@quantumlogistics.com,ops@controlcenter.com,Email,Confirming receipt of the shipment request. We will assign a driver soon. Best regards.,0,0.17,2026-05-06 00:22:51
SHP-1020,info@westcoastfreight.com,ops@controlcenter.com,Email,"Hello, gate check-in has been completed for shipment SHP-1020 in Atlanta, GA. Estimated arrival in Las Vegas, NV remains unchanged.",0,0.07,2026-05-17 02:22:51
SHP-1020,+15558030010,+15554700025,SMS,Refueling. Trailer locks checked and secure.,0,0.05,2026-05-17 02:22:51
SHP-1021,info@northerntransport.com,ops@controlcenter.com,Email,"Hi Team, please find attached the BOL for shipment SHP-1021. Let us know if you need anything else.",0,0.16,2026-04-10 09:22:51
SHP-1021,info@northerntransport.com,ops@controlcenter.com,Email,Confirming receipt of the shipment request. We will assign a driver soon. Best regards.,0,0.05,2026-04-10 09:22:51
SHP-1021,+15557360307,+15556492066,SMS,Arrived at receiver. Waiting for dock assignment. Everything secure.,0,0.11,2026-04-10 09:22:51
SHP-1022,info@kryptonlogistics.com,ops@controlcenter.com,Email,"Hi Team, please find attached the BOL for shipment SHP-1022. Let us know if you need anything else.",0,0.19,2026-06-01 15:22:51
SHP-1022,info@kryptonlogistics.com,ops@controlcenter.com,Email,"Good morning, here is the tracking status report for cargo. The driver is currently in transit and ETA is looking good.",0,0.21,2026-06-01 15:22:51
SHP-1022,info@kryptonlogistics.com,ops@controlcenter.com,Email,"Good morning, here is the tracking status report for cargo. The driver is currently in transit and ETA is looking good.",0,0.03,2026-06-01 15:22:51
SHP-1023,info@vanguardlogistics.com,ops@controlcenter.com,Email,Attached are the truck inspection logs and driver credentials for carrier verification.,0,0.17,2026-04-07 19:22:51
SHP-1023,+15552275009,+15555074336,SMS,Driver: Reroute load SHP-1023 now. Destination changed. Go to loading dock 4 behind retail complex.,1,0.9,2026-04-07 19:22:51
SHP-1023,+15553030966,+15551689025,SMS,"Highway construction near check point. Delay of 30 mins, but route remains secure.",0,0.13,2026-04-07 19:22:51
SHP-1024,info@vanguardlogistics.com,ops@controlcenter.com,Email,Attached are the truck inspection logs and driver credentials for carrier verification.,0,0.24,2026-05-19 01:22:51
SHP-1024,+15559111742,+15558799287,SMS,Refueling. Trailer locks checked and secure.,0,0.21,2026-05-19 01:22:51
SHP-1025,+15556452832,+15554050766,SMS,Refueling. Trailer locks checked and secure.,0,0.05,2026-06-11 11:22:51
SHP-1026,+15558519121,+15551289293,SMS,DriverJohn here. SHP SHP-1026 load completed. Departing origin now.,0,0.07,2026-05-26 07:22:51
SHP-1026,+15555081983,+15556137284,SMS,"Highway construction near check point. Delay of 30 mins, but route remains secure.",0,0.12,2026-05-26 07:22:51
SHP-1026,+15558138769,+15556549757,SMS,"Highway construction near check point. Delay of 30 mins, but route remains secure.",0,0.18,2026-05-26 07:22:51
SHP-1027,+15552686548,+15554256752,SMS,"Highway construction near check point. Delay of 30 mins, but route remains secure.",0,0.06,2026-04-16 20:22:51
SHP-1027,info@interstatecarriers.com,ops@controlcenter.com,Email,"Hello, gate check-in has been completed for shipment SHP-1027 in Seattle, WA. Estimated arrival in New York, NY remains unchanged.",0,0.0,2026-04-16 20:22:51
SHP-1028,+15558389840,+15556716097,SMS,Arrived at receiver. Waiting for dock assignment. Everything secure.,0,0.24,2026-05-25 17:22:51
SHP-1028,+15559014965,+15552914064,SMS,DriverJohn here. SHP SHP-1028 load completed. Departing origin now.,0,0.1,2026-05-25 17:22:51
SHP-1029,+15558558378,+15558427625,SMS,"Highway construction near check point. Delay of 30 mins, but route remains secure.",0,0.22,2026-04-24 17:22:51
SHP-1029,+15556123430,+15552010496,SMS,DriverJohn here. SHP SHP-1029 load completed. Departing origin now.,0,0.24,2026-04-24 17:22:51
SHP-1029,info@cascadelogistics.com,ops@controlcenter.com,Email,"Good morning, here is the tracking status report for cargo. The driver is currently in transit and ETA is looking good.",0,0.07,2026-04-24 17:22:51
SHP-1030,+15558617381,+15552194198,SMS,Arrived at receiver. Waiting for dock assignment. Everything secure.,0,0.23,2026-05-23 23:22:51
SHP-1030,info@cascadelogistics.com,ops@controlcenter.com,Email,Confirming receipt of the shipment request. We will assign a driver soon. Best regards.,0,0.03,2026-05-23 23:22:51
SHP-1031,+15557752972,+15555567533,SMS,Refueling. Trailer locks checked and secure.,0,0.11,2026-06-04 23:22:51
SHP-1031,info@horizonfreight.com,ops@controlcenter.com,Email,Confirming receipt of the shipment request. We will assign a driver soon. Best regards.,0,0.18,2026-06-04 23:22:51
SHP-1032,+15555666692,+15554044882,SMS,Refueling. Trailer locks checked and secure.,0,0.16,2026-03-29 19:22:51
SHP-1032,+15552530793,+15558885465,SMS,"Highway construction near check point. Delay of 30 mins, but route remains secure.",0,0.1,2026-03-29 19:22:51
SHP-1032,+15552754894,+15553698193,SMS,"Highway construction near check point. Delay of 30 mins, but route remains secure.",0,0.1,2026-03-29 19:22:51
SHP-1033,+15557069650,+15559363326,SMS,"Rerouting SHP SHP-1033. Deliver load to Houston, TX West Compound instead of Main Terminal.",1,0.92,2026-05-15 06:22:51
SHP-1033,dispatch@apexcorp-logistics.net,ops@controlcenter.com,Email,Notice of Carrier Change: Driver John is unavailable. Carrier has been switched to Priority Logistics. Please release the load to truck ID CAR-565.,1,0.83,2026-05-15 06:22:51
SHP-1034,info@westcoastfreight.com,ops@controlcenter.com,Email,Confirming receipt of the shipment request. We will assign a driver soon. Best regards.,0,0.23,2026-04-04 21:22:51
SHP-1035,+15556702160,+15559518424,SMS,"Highway construction near check point. Delay of 30 mins, but route remains secure.",0,0.21,2026-05-12 20:22:51
SHP-1035,+15556008935,+15559214801,SMS,Arrived at receiver. Waiting for dock assignment. Everything secure.,0,0.11,2026-05-12 20:22:51
SHP-1036,dispatch@outlook-logistics.com,ops@controlcenter.com,Email,"Dear customer, system outage has affected our primary logistics email. Do not reply to standard office number. Confirm container drop details via this email.",1,0.81,2026-04-24 08:22:51
SHP-1036,dispatch@gmail-cargo.com,ops@controlcenter.com,Email,"Important billing update for SHP-1036. Due to audit, we changed bank details. Wire payment to routing 021000021, account 992837262. Confirm transaction asap.",1,0.85,2026-04-24 08:22:51
SHP-1037,+15556680114,+15557668663,SMS,DriverJohn here. SHP SHP-1037 load completed. Departing origin now.,0,0.21,2026-04-12 03:22:51
SHP-1037,+15556312692,+15559186400,SMS,DriverJohn here. SHP SHP-1037 load completed. Departing origin now.,0,0.15,2026-04-12 03:22:51
SHP-1038,info@horizonfreight.com,ops@controlcenter.com,Email,"Hello, gate check-in has been completed for shipment SHP-1038 in New York, NY. Estimated arrival in Detroit, MI remains unchanged.",0,0.2,2026-04-06 04:22:51
SHP-1039,+15555040453,+15559349470,SMS,Arrived at receiver. Waiting for dock assignment. Everything secure.,0,0.06,2026-04-16 19:22:51
SHP-1039,+15558710313,+15555283671,SMS,DriverJohn here. SHP SHP-1039 load completed. Departing origin now.,0,0.22,2026-04-16 19:22:51
SHP-1039,+15555825658,+15553650391,SMS,DriverJohn here. SHP SHP-1039 load completed. Departing origin now.,0,0.11,2026-04-16 19:22:51
SHP-1040,+15555963914,+15555953150,SMS,DriverJohn here. SHP SHP-1040 load completed. Departing origin now.,0,0.24,2026-05-13 05:22:51
SHP-1040,+15555605016,+15551135861,SMS,DriverJohn here. SHP SHP-1040 load completed. Departing origin now.,0,0.23,2026-05-13 05:22:51
SHP-1041,info@xpresslogistics.com,ops@controlcenter.com,Email,"Hello, gate check-in has been completed for shipment SHP-1041 in New York, NY. Estimated arrival in Detroit, MI remains unchanged.",0,0.2,2026-06-17 11:22:51
SHP-1041,info@xpresslogistics.com,ops@controlcenter.com,Email,Attached are the truck inspection logs and driver credentials for carrier verification.,0,0.09,2026-06-17 11:22:51
SHP-1041,info@xpresslogistics.com,ops@controlcenter.com,Email,"Hi Team, please find attached the BOL for shipment SHP-1041. Let us know if you need anything else.",0,0.23,2026-06-17 11:22:51
SHP-1042,+15555951651,+15556682698,SMS,DriverJohn here. SHP SHP-1042 load completed. Departing origin now.,0,0.12,2026-05-31 06:22:51
SHP-1042,info@kryptonlogistics.com,ops@controlcenter.com,Email,"Good morning, here is the tracking status report for cargo. The driver is currently in transit and ETA is looking good.",0,0.19,2026-05-31 06:22:51
SHP-1043,+15557392547,+15557232293,SMS,DriverJohn here. SHP SHP-1043 load completed. Departing origin now.,0,0.17,2026-05-31 17:22:51
SHP-1043,+15551419843,+15556503032,SMS,Arrived at receiver. Waiting for dock assignment. Everything secure.,0,0.16,2026-05-31 17:22:51
SHP-1043,+15556069909,+15557850067,SMS,DriverJohn here. SHP SHP-1043 load completed. Departing origin now.,0,0.03,2026-05-31 17:22:51
SHP-1044,info@blueskytransport.com,ops@controlcenter.com,Email,Confirming receipt of the shipment request. We will assign a driver soon. Best regards.,0,0.15,2026-05-22 01:22:51
SHP-1044,+15551548888,+15557216461,SMS,Arrived at receiver. Waiting for dock assignment. Everything secure.,0,0.11,2026-05-22 01:22:51
SHP-1045,info@horizonfreight.com,ops@controlcenter.com,Email,Attached are the truck inspection logs and driver credentials for carrier verification.,0,0.24,2026-04-17 17:22:51
SHP-1045,info@horizonfreight.com,ops@controlcenter.com,Email,"Hello, gate check-in has been completed for shipment SHP-1045 in Miami, FL. Estimated arrival in Boston, MA remains unchanged.",0,0.06,2026-04-17 17:22:51
SHP-1045,info@horizonfreight.com,ops@controlcenter.com,Email,Attached are the truck inspection logs and driver credentials for carrier verification.,0,0.05,2026-04-17 17:22:51
SHP-1046,+15553927575,+15552844258,SMS,DriverJohn here. SHP SHP-1046 load completed. Departing origin now.,0,0.03,2026-03-24 22:22:51
SHP-1046,+15554991829,+15556431983,SMS,DriverJohn here. SHP SHP-1046 load completed. Departing origin now.,0,0.04,2026-03-24 22:22:51
SHP-1046,info@zephyrshipping.com,ops@controlcenter.com,Email,"Good morning, here is the tracking status report for cargo. The driver is currently in transit and ETA is looking good.",0,0.19,2026-03-24 22:22:51
SHP-1047,+15558684678,+15551522621,SMS,DriverJohn here. SHP SHP-1047 load completed. Departing origin now.,0,0.25,2026-05-21 06:22:51
SHP-1047,+15558151684,+15552811298,SMS,Refueling. Trailer locks checked and secure.,0,0.18,2026-05-21 06:22:51
SHP-1047,+15552232969,+15552355439,SMS,"Highway construction near check point. Delay of 30 mins, but route remains secure.",0,0.15,2026-05-21 06:22:51
SHP-1048,info@cascadelogistics.com,ops@controlcenter.com,Email,Confirming receipt of the shipment request. We will assign a driver soon. Best regards.,0,0.11,2026-06-10 03:22:51
SHP-1048,info@cascadelogistics.com,ops@controlcenter.com,Email,Confirming receipt of the shipment request. We will assign a driver soon. Best regards.,0,0.08,2026-06-10 03:22:51
SHP-1048,+15557689582,+15557979148,SMS,DriverJohn here. SHP SHP-1048 load completed. Departing origin now.,0,0.08,2026-06-10 03:22:51
SHP-1049,info@kryptonlogistics.com,ops@controlcenter.com,Email,Attached are the truck inspection logs and driver credentials for carrier verification.,0,0.24,2026-05-18 17:22:51
SHP-1049,+15553050700,+15557892225,SMS,"Highway construction near check point. Delay of 30 mins, but route remains secure.",0,0.22,2026-05-18 17:22:51
SHP-1049,+15551863121,+15555825620,SMS,"Highway construction near check point. Delay of 30 mins, but route remains secure.",0,0.09,2026-05-18 17:22:51
SHP-1050,info@summitlogistics.com,ops@controlcenter.com,Email,Attached are the truck inspection logs and driver credentials for carrier verification.,0,0.23,2026-05-10 17:22:51
SHP-1050,+15551485753,+15554026879,SMS,"Highway construction near check point. Delay of 30 mins, but route remains secure.",0,0.18,2026-05-10 17:22:51
SHP-1051,info@jupitershipping.com,ops@controlcenter.com,Email,Confirming receipt of the shipment request. We will assign a driver soon. Best regards.,0,0.1,2026-04-01 18:22:51
SHP-1051,+15553640889,+15557208460,SMS,"Highway construction near check point. Delay of 30 mins, but route remains secure.",0,0.18,2026-04-01 18:22:51
SHP-1051,info@jupitershipping.com,ops@controlcenter.com,Email,"Hi Team, please find attached the BOL for shipment SHP-1051. Let us know if you need anything else.",0,0.04,2026-04-01 18:22:51
SHP-1052,+15558212753,+15552860421,SMS,"Highway construction near check point. Delay of 30 mins, but route remains secure.",0,0.17,2026-05-16 22:22:51
SHP-1053,+15556504979,+15553013003,SMS,DriverJohn here. SHP SHP-1053 load completed. Departing origin now.,0,0.12,2026-04-19 23:22:51
SHP-1053,+15553947669,+15553167376,SMS,Refueling. Trailer locks checked and secure.,0,0.13,2026-04-19 23:22:51
SHP-1054,+15558007741,+15555857259,SMS,DriverJohn here. SHP SHP-1054 load completed. Departing origin now.,0,0.1,2026-05-21 16:22:51
SHP-1054,+15553883553,+15558719145,SMS,"Highway construction near check point. Delay of 30 mins, but route remains secure.",0,0.02,2026-05-21 16:22:51
SHP-1054,info@horizonfreight.com,ops@controlcenter.com,Email,"Good morning, here is the tracking status report for cargo. The driver is currently in transit and ETA is looking good.",0,0.11,2026-05-21 16:22:51
SHP-1055,info@metrologistics.com,ops@controlcenter.com,Email,"Hello, gate check-in has been completed for shipment SHP-1055 in Atlanta, GA. Estimated arrival in Detroit, MI remains unchanged.",0,0.09,2026-05-29 10:22:51
SHP-1055,info@metrologistics.com,ops@controlcenter.com,Email,"Good morning, here is the tracking status report for cargo. The driver is currently in transit and ETA is looking good.",0,0.03,2026-05-29 10:22:51
SHP-1055,+15554309671,+15553910830,SMS,Arrived at receiver. Waiting for dock assignment. Everything secure.,0,0.19,2026-05-29 10:22:51
SHP-1056,+15551942411,+15556904610,SMS,DriverJohn here. SHP SHP-1056 load completed. Departing origin now.,0,0.08,2026-04-13 04:22:51
SHP-1056,+15555816353,+15552287332,SMS,Driver: Reroute load SHP-1056 now. Destination changed. Go to loading dock 4 behind retail complex.,1,0.88,2026-04-13 04:22:51
SHP-1057,info@quantumlogistics.com,ops@controlcenter.com,Email,"Hello, gate check-in has been completed for shipment SHP-1057 in San Francisco, CA. Estimated arrival in Chicago, IL remains unchanged.",0,0.25,2026-06-10 05:22:51
SHP-1057,info@quantumlogistics.com,ops@controlcenter.com,Email,Attached are the truck inspection logs and driver credentials for carrier verification.,0,0.16,2026-06-10 05:22:51
SHP-1058,info@blueskytransport.com,ops@controlcenter.com,Email,"Hello, gate check-in has been completed for shipment SHP-1058 in Dallas, TX. Estimated arrival in Miami, FL remains unchanged.",0,0.02,2026-04-30 02:22:51
SHP-1058,info@blueskytransport.com,ops@controlcenter.com,Email,Attached are the truck inspection logs and driver credentials for carrier verification.,0,0.17,2026-04-30 02:22:51
SHP-1058,+15555227787,+15553522845,SMS,"Highway construction near check point. Delay of 30 mins, but route remains secure.",0,0.02,2026-04-30 02:22:51
SHP-1059,info@vanguardlogistics.com,ops@controlcenter.com,Email,Confirming receipt of the shipment request. We will assign a driver soon. Best regards.,0,0.13,2026-05-03 07:22:51
SHP-1060,info@atlascargo.com,ops@controlcenter.com,Email,"Hello, gate check-in has been completed for shipment SHP-1060 in Houston, TX. Estimated arrival in Denver, CO remains unchanged.",0,0.22,2026-04-10 18:22:51
SHP-1061,+15554985095,+15558452417,SMS,"Highway construction near check point. Delay of 30 mins, but route remains secure.",0,0.19,2026-04-15 13:22:51
SHP-1061,+15554925917,+15559959220,SMS,Arrived at receiver. Waiting for dock assignment. Everything secure.,0,0.08,2026-04-15 13:22:51
SHP-1062,info@pinnaclefreight.com,ops@controlcenter.com,Email,"Hello, gate check-in has been completed for shipment SHP-1062 in Seattle, WA. Estimated arrival in Boston, MA remains unchanged.",0,0.01,2026-05-28 06:22:51
SHP-1063,+15552538698,+15554725179,SMS,Refueling. Trailer locks checked and secure.,0,0.22,2026-04-13 22:22:51
SHP-1064,+15553450300,+15553308538,SMS,DriverJohn here. SHP SHP-1064 load completed. Departing origin now.,0,0.07,2026-04-21 14:22:51
SHP-1064,+15553328554,+15558870361,SMS,Refueling. Trailer locks checked and secure.,0,0.15,2026-04-21 14:22:51
SHP-1064,info@atlascargo.com,ops@controlcenter.com,Email,"Hi Team, please find attached the BOL for shipment SHP-1064. Let us know if you need anything else.",0,0.06,2026-04-21 14:22:51
SHP-1065,info@apexcarrier.com,ops@controlcenter.com,Email,Confirming receipt of the shipment request. We will assign a driver soon. Best regards.,0,0.15,2026-03-30 21:22:51
SHP-1066,+15552135470,+15559825812,SMS,DriverJohn here. SHP SHP-1066 load completed. Departing origin now.,0,0.1,2026-06-06 03:22:51
SHP-1066,+15551730386,+15557490791,SMS,"Highway construction near check point. Delay of 30 mins, but route remains secure.",0,0.06,2026-06-06 03:22:51
SHP-1066,info@atlascargo.com,ops@controlcenter.com,Email,"Hello, gate check-in has been completed for shipment SHP-1066 in Seattle, WA. Estimated arrival in Phoenix, AZ remains unchanged.",0,0.2,2026-06-06 03:22:51
SHP-1067,info@libertycargo.com,ops@controlcenter.com,Email,"Good morning, here is the tracking status report for cargo. The driver is currently in transit and ETA is looking good.",0,0.02,2026-06-14 19:22:51
SHP-1067,+15551620485,+15555923149,SMS,Arrived at receiver. Waiting for dock assignment. Everything secure.,0,0.01,2026-06-14 19:22:51
SHP-1067,info@libertycargo.com,ops@controlcenter.com,Email,"Hi Team, please find attached the BOL for shipment SHP-1067. Let us know if you need anything else.",0,0.08,2026-06-14 19:22:51
SHP-1068,+15558330827,+15557711251,SMS,Refueling. Trailer locks checked and secure.,0,0.22,2026-05-08 15:22:51
SHP-1069,info@metrologistics.com,ops@controlcenter.com,Email,Attached are the truck inspection logs and driver credentials for carrier verification.,0,0.07,2026-04-04 13:22:51
SHP-1069,info@metrologistics.com,ops@controlcenter.com,Email,"Hi Team, please find attached the BOL for shipment SHP-1069. Let us know if you need anything else.",0,0.08,2026-04-04 13:22:51
SHP-1070,info@jupitershipping.com,ops@controlcenter.com,Email,"Hi Team, please find attached the BOL for shipment SHP-1070. Let us know if you need anything else.",0,0.17,2026-05-09 09:22:51
SHP-1070,+15557095349,+15559608154,SMS,Arrived at receiver. Waiting for dock assignment. Everything secure.,0,0.24,2026-05-09 09:22:51
SHP-1070,info@jupitershipping.com,ops@controlcenter.com,Email,Attached are the truck inspection logs and driver credentials for carrier verification.,0,0.17,2026-05-09 09:22:51
SHP-1071,+15553310140,+15559882862,SMS,"Highway construction near check point. Delay of 30 mins, but route remains secure.",0,0.1,2026-04-13 11:22:51
SHP-1071,+15551434753,+15554121368,SMS,"Rerouting SHP SHP-1071. Deliver load to Denver, CO West Compound instead of Main Terminal.",1,0.85,2026-04-13 11:22:51
SHP-1072,+15553896693,+15558467726,SMS,DriverJohn here. SHP SHP-1072 load completed. Departing origin now.,0,0.2,2026-05-25 20:22:51
SHP-1073,info@kryptonlogistics.com,ops@controlcenter.com,Email,"Good morning, here is the tracking status report for cargo. The driver is currently in transit and ETA is looking good.",0,0.2,2026-06-13 19:22:51
SHP-1074,+15559030667,+15559819709,SMS,Refueling. Trailer locks checked and secure.,0,0.19,2026-06-02 18:22:51
SHP-1074,info@horizonfreight.com,ops@controlcenter.com,Email,"Good morning, here is the tracking status report for cargo. The driver is currently in transit and ETA is looking good.",0,0.24,2026-06-02 18:22:51
SHP-1075,+15554782763,+15556805303,SMS,Security notice: Logistics portal compromised. Contact broker ONLY at +1 (555) 019-3829. Do not use main desk line.,1,0.95,2026-05-27 15:22:51
SHP-1076,+15551691125,+15551476028,SMS,DriverJohn here. SHP SHP-1076 load completed. Departing origin now.,0,0.01,2026-05-28 10:22:51
SHP-1077,info@unitedcargo.com,ops@controlcenter.com,Email,Confirming receipt of the shipment request. We will assign a driver soon. Best regards.,0,0.07,2026-06-13 07:22:51
SHP-1077,info@unitedcargo.com,ops@controlcenter.com,Email,"Hi Team, please find attached the BOL for shipment SHP-1077. Let us know if you need anything else.",0,0.04,2026-06-13 07:22:51
SHP-1078,info@northerntransport.com,ops@controlcenter.com,Email,"Hello, gate check-in has been completed for shipment SHP-1078 in Seattle, WA. Estimated arrival in Boston, MA remains unchanged.",0,0.06,2026-05-08 02:22:51
SHP-1078,info@northerntransport.com,ops@controlcenter.com,Email,"Hello, gate check-in has been completed for shipment SHP-1078 in Seattle, WA. Estimated arrival in Boston, MA remains unchanged.",0,0.11,2026-05-08 02:22:51
SHP-1078,info@northerntransport.com,ops@controlcenter.com,Email,"Hi Team, please find attached the BOL for shipment SHP-1078. Let us know if you need anything else.",0,0.01,2026-05-08 02:22:51
SHP-1079,+15559367799,+15556176450,SMS,Refueling. Trailer locks checked and secure.,0,0.01,2026-05-03 20:22:51
SHP-1079,+15559479950,+15558671057,SMS,Arrived at receiver. Waiting for dock assignment. Everything secure.,0,0.05,2026-05-03 20:22:51
SHP-1079,+15551816348,+15551847927,SMS,"Highway construction near check point. Delay of 30 mins, but route remains secure.",0,0.12,2026-05-03 20:22:51
SHP-1080,info@unitedcargo.com,ops@controlcenter.com,Email,Attached are the truck inspection logs and driver credentials for carrier verification.,0,0.14,2026-05-10 02:22:51
SHP-1080,+15555841933,+15552233658,SMS,Refueling. Trailer locks checked and secure.,0,0.13,2026-05-10 02:22:51
SHP-1081,+15559389915,+15551675365,SMS,DriverJohn here. SHP SHP-1081 load completed. Departing origin now.,0,0.01,2026-06-04 01:22:51
SHP-1081,+15558948107,+15559712957,SMS,Refueling. Trailer locks checked and secure.,0,0.04,2026-06-04 01:22:51
SHP-1081,info@zephyrshipping.com,ops@controlcenter.com,Email,"Hello, gate check-in has been completed for shipment SHP-1081 in Miami, FL. Estimated arrival in Phoenix, AZ remains unchanged.",0,0.23,2026-06-04 01:22:51
